State,State Name,City,Expected Provider Count,actual_count,diff,pct
AK,Alaska,Anchorage,35,31,4,88.6
AK,Alaska,Fairbanks,15,8,7,53.3
AK,Alaska,Wasilla,15,14,1,93.3
AK,Alaska,Juneau,10,11,-1,110.0
AK,Alaska,Soldotna,9,8,1,88.9
AK,Alaska,Palmer,7,7,0,100.0
AK,Alaska,Ketchikan,4,4,0,100.0
AK,Alaska,Kenai,3,2,1,66.7
AK,Alaska,Bethel,2,2,0,100.0
AK,Alaska,Naknek,2,1,1,50.0
AK,Alaska,Eagle River,2,2,0,100.0
AK,Alaska,Kodiak,2,2,0,100.0
AK,Alaska,Sitka,2,2,0,100.0
AK,Alaska,Aleknagik,1,1,0,100.0
AK,Alaska,Port Graham,1,1,0,100.0
AK,Alaska,Chenega,1,1,0,100.0
AK,Alaska,Prudhoe Bay,1,1,0,100.0
AK,Alaska,Chignik,1,1,0,100.0
AK,Alaska,Chignik Lagoon,1,1,0,100.0
AK,Alaska,Chignik Lake,1,1,0,100.0
AK,Alaska,Seward,1,1,0,100.0
AK,Alaska,Clark's Point,1,1,0,100.0
AK,Alaska,Skagway,1,1,0,100.0
AK,Alaska,Galena,1,1,0,100.0
AK,Alaska,Egegik,1,1,0,100.0
AK,Alaska,Ekwok,1,1,0,100.0
AK,Alaska,Delta Junction,1,1,0,100.0
AK,Alaska,Goodnews Bay,1,1,0,100.0
AK,Alaska,Homer,1,1,0,100.0
AK,Alaska,Denali Park,1,0,1,0.0
AK,Alaska,Unalaska,1,1,0,100.0
AK,Alaska,Dillingham,1,1,0,100.0
AK,Alaska,King Salmon,1,1,0,100.0
AK,Alaska,Koliganek,1,1,0,100.0
AK,Alaska,Levelock,1,1,0,100.0
AK,Alaska,Kotzebue,1,1,0,100.0
AK,Alaska,Manokotak,1,1,0,100.0
AK,Alaska,Big Lake,1,1,0,100.0
AK,Alaska,Nanwalek,1,1,0,100.0
AK,Alaska,New Stuyahok,1,1,0,100.0
AK,Alaska,Nome,1,1,0,100.0
AK,Alaska,Craig,1,1,0,100.0
AK,Alaska,Perryville,1,1,0,100.0
AK,Alaska,Petersburg,1,1,0,100.0
AK,Alaska,Pilot Point,1,1,0,100.0
AK,Alaska,Platinum,1,1,0,100.0
AK,Alaska,Port Heiden,1,1,0,100.0
AK,Alaska,Klawock,1,1,0,100.0
AK,Alaska,Edna Bay,1,1,0,100.0
AK,Alaska,Gustavus,1,1,0,100.0
AK,Alaska,Haines,1,1,0,100.0
AK,Alaska,Hoonah,1,1,0,100.0
AK,Alaska,Hydaburg,1,1,0,100.0
AK,Alaska,Angoon,1,1,0,100.0
AK,Alaska,Kake,1,1,0,100.0
AK,Alaska,Kasaan,1,1,0,100.0
AK,Alaska,Klukwan,1,1,0,100.0
AK,Alaska,Pelican,1,1,0,100.0
AK,Alaska,Wrangell,1,1,0,100.0
AK,Alaska,South Naknek,1,1,0,100.0
AK,Alaska,Talkeetna,1,1,0,100.0
AK,Alaska,Willow,1,1,0,100.0
AK,Alaska,Tatitlek,1,1,0,100.0
AK,Alaska,Togiak,1,1,0,100.0
AK,Alaska,Twin Hills,1,1,0,100.0
AK,Alaska,Valdez,1,1,0,100.0
AL,Alabama,Birmingham,85,22,63,25.9
AL,Alabama,Huntsville,55,5,50,9.1
AL,Alabama,Montgomery,45,11,34,24.4
AL,Alabama,Mobile,40,15,25,37.5
AL,Alabama,Tuscaloosa,8,5,3,62.5
AL,Alabama,Dothan,8,4,4,50.0
AL,Alabama,Madison,7,7,0,100.0
AL,Alabama,Decatur,5,4,1,80.0
AL,Alabama,Anniston,5,4,1,80.0
AL,Alabama,Florence,5,4,1,80.0
AL,Alabama,Daphne,4,4,0,100.0
AL,Alabama,Enterprise,4,3,1,75.0
AL,Alabama,Auburn,4,2,2,50.0
AL,Alabama,Cullman,3,1,2,33.3
AL,Alabama,Fairhope,3,3,0,100.0
AL,Alabama,Pelham,3,2,1,66.7
AL,Alabama,Saraland,3,3,0,100.0
AL,Alabama,Foley,3,2,1,66.7
AL,Alabama,Sylacauga,3,3,0,100.0
AL,Alabama,Hoover,3,3,0,100.0
AL,Alabama,Alabaster,2,1,1,50.0
AL,Alabama,Athens,2,1,1,50.0
AL,Alabama,Calera,2,1,1,50.0
AL,Alabama,Gadsden,2,1,1,50.0
AL,Alabama,Orange Beach,2,1,1,50.0
AL,Alabama,Oxford,2,2,0,100.0
AL,Alabama,Wetumpka,2,0,2,0.0
AL,Alabama,Andalusia,2,1,1,50.0
AL,Alabama,Boaz,2,2,0,100.0
AL,Alabama,Hueytown,2,2,0,100.0
AL,Alabama,Rainbow City,2,2,0,100.0
AL,Alabama,Eufaula,2,2,0,100.0
AL,Alabama,Attalla,2,2,0,100.0
AL,Alabama,Moody,2,2,0,100.0
AL,Alabama,Muscle Shoals,2,2,0,100.0
AL,Alabama,Hartselle,2,1,1,50.0
AL,Alabama,Alexander City,2,2,0,100.0
AL,Alabama,Centre,2,1,1,50.0
AL,Alabama,Selma,2,2,0,100.0
AL,Alabama,Troy,2,2,0,100.0
AL,Alabama,Opelika,2,2,0,100.0
AL,Alabama,Loxley,1,1,0,100.0
AL,Alabama,Greenville,1,1,0,100.0
AL,Alabama,Fairfield,1,1,0,100.0
AL,Alabama,Gardendale,1,1,0,100.0
AL,Alabama,Meadowbrook,1,0,1,0.0
AL,Alabama,Owens Cross Roads,1,0,1,0.0
AL,Alabama,Bessemer,1,0,1,0.0
AL,Alabama,Pell City,1,0,1,0.0
AL,Alabama,Prattville,1,0,1,0.0
AL,Alabama,Trussville,1,1,0,100.0
AL,Alabama,Prichard,1,1,0,100.0
AL,Alabama,Aliceville,1,1,0,100.0
AL,Alabama,Mc Calla,1,1,0,100.0
AL,Alabama,Centreville,1,1,0,100.0
AL,Alabama,Clanton,1,1,0,100.0
AL,Alabama,Fort Payne,1,1,0,100.0
AL,Alabama,Elmore,1,1,0,100.0
AL,Alabama,Sheffield,1,1,0,100.0
AL,Alabama,Jacksonville,1,1,0,100.0
AL,Alabama,Lincoln,1,1,0,100.0
AL,Alabama,New Hope,1,1,0,100.0
AL,Alabama,Spanish Fort,1,1,0,100.0
AL,Alabama,Daleville,1,1,0,100.0
AL,Alabama,Gilbertown,1,1,0,100.0
AL,Alabama,Henager,1,0,1,0.0
AL,Alabama,Hazel Green,1,1,0,100.0
AL,Alabama,Hamilton,1,1,0,100.0
AL,Alabama,Dadeville,1,1,0,100.0
AL,Alabama,Guntersville,1,1,0,100.0
AL,Alabama,Brewton,1,1,0,100.0
AL,Alabama,Millbrook,1,1,0,100.0
AL,Alabama,Valley,1,1,0,100.0
AL,Alabama,Arab,1,1,0,100.0
AL,Alabama,Monroeville,1,1,0,100.0
AL,Alabama,Oneonta,1,1,0,100.0
AL,Alabama,Talladega,1,1,0,100.0
AL,Alabama,Mount Vernon,1,1,0,100.0
AL,Alabama,Haleyville,1,1,0,100.0
AL,Alabama,Center Point,1,1,0,100.0
AL,Alabama,Albertville,1,1,0,100.0
AL,Alabama,Livingston,1,1,0,100.0
AL,Alabama,Guin,1,1,0,100.0
AL,Alabama,Chelsea,1,1,0,100.0
AL,Alabama,Heflin,1,1,0,100.0
AL,Alabama,Helena,1,1,0,100.0
AL,Alabama,Homewood,1,1,0,100.0
AL,Alabama,Ozark,1,0,1,0.0
AL,Alabama,Springville,1,1,0,100.0
AL,Alabama,Winfield,1,1,0,100.0
AL,Alabama,Phenix City,1,1,0,100.0
AL,Alabama,Wedowee,1,1,0,100.0
AL,Alabama,Jackson,1,1,0,100.0
AL,Alabama,Meridianville,1,1,0,100.0
AL,Alabama,Littleville,1,1,0,100.0
AR,Arkansas,Little Rock,65,12,53,18.5
AR,Arkansas,Fayetteville,35,5,30,14.3
AR,Arkansas,Fort Smith,30,9,21,30.0
AR,Arkansas,Springdale,7,7,0,100.0
AR,Arkansas,Conway,6,6,0,100.0
AR,Arkansas,Bentonville,6,6,0,100.0
AR,Arkansas,Searcy,5,4,1,80.0
AR,Arkansas,North Little Rock,5,5,0,100.0
AR,Arkansas,Hot Springs,4,4,0,100.0
AR,Arkansas,Pine Bluff,4,4,0,100.0
AR,Arkansas,Jonesboro,4,4,0,100.0
AR,Arkansas,Rogers,4,4,0,100.0
AR,Arkansas,El Dorado,3,3,0,100.0
AR,Arkansas,Jacksonville,3,3,0,100.0
AR,Arkansas,Maumelle,3,3,0,100.0
AR,Arkansas,Russellville,3,3,0,100.0
AR,Arkansas,Texarkana,2,2,0,100.0
AR,Arkansas,Bryant,2,2,0,100.0
AR,Arkansas,Cabot,2,2,0,100.0
AR,Arkansas,Van Buren,2,2,0,100.0
AR,Arkansas,West Memphis,2,2,0,100.0
AR,Arkansas,Harrison,2,2,0,100.0
AR,Arkansas,Wynne,2,2,0,100.0
AR,Arkansas,Stuttgart,1,1,0,100.0
AR,Arkansas,Beebe,1,1,0,100.0
AR,Arkansas,Benton,1,1,0,100.0
AR,Arkansas,Mountain Home,1,1,0,100.0
AR,Arkansas,Piney,1,1,0,100.0
AR,Arkansas,Heber Springs,1,1,0,100.0
AR,Arkansas,Glenwood,1,1,0,100.0
AR,Arkansas,Crossett,1,1,0,100.0
AR,Arkansas,Hope,1,1,0,100.0
AR,Arkansas,Greenbrier,1,1,0,100.0
AR,Arkansas,Sherwood,1,1,0,100.0
AR,Arkansas,De Queen,1,1,0,100.0
AR,Arkansas,Lowell,1,1,0,100.0
AR,Arkansas,McGehee,1,1,0,100.0
AR,Arkansas,Bella Vista,1,1,0,100.0
AR,Arkansas,Paragould,1,1,0,100.0
AR,Arkansas,Batesville,1,1,0,100.0
AR,Arkansas,Lonoke,1,1,0,100.0
AR,Arkansas,Quitman,1,1,0,100.0
AZ,Arizona,Phoenix,180,85,95,47.2
AZ,Arizona,Tucson,75,42,33,56.0
AZ,Arizona,Mesa,55,29,26,52.7
AZ,Arizona,Scottsdale,45,29,16,64.4
AZ,Arizona,Tempe,40,20,20,50.0
AZ,Arizona,Glendale,25,18,7,72.0
AZ,Arizona,Gilbert,22,14,8,63.6
AZ,Arizona,Chandler,21,13,8,61.9
AZ,Arizona,Yuma,12,12,0,100.0
AZ,Arizona,Peoria,11,11,0,100.0
AZ,Arizona,Goodyear,10,7,3,70.0
AZ,Arizona,Surprise,10,7,3,70.0
AZ,Arizona,Flagstaff,10,7,3,70.0
AZ,Arizona,Avondale,8,7,1,87.5
AZ,Arizona,San Tan Valley,6,5,1,83.3
AZ,Arizona,Tolleson,5,5,0,100.0
AZ,Arizona,Casa Grande,5,4,1,80.0
AZ,Arizona,Cave Creek,5,3,2,60.0
AZ,Arizona,Buckeye,4,4,0,100.0
AZ,Arizona,Lake Havasu City,4,3,1,75.0
AZ,Arizona,Cottonwood,4,2,2,50.0
AZ,Arizona,Queen Creek,3,2,1,66.7
AZ,Arizona,Bisbee,3,3,0,100.0
AZ,Arizona,Oro Valley,3,3,0,100.0
AZ,Arizona,Sierra Vista,3,2,1,66.7
AZ,Arizona,Maricopa,3,1,2,33.3
AZ,Arizona,Prescott,3,3,0,100.0
AZ,Arizona,Prescott Valley,3,2,1,66.7
AZ,Arizona,Apache Junction,3,1,2,33.3
AZ,Arizona,Sahuarita,2,0,2,0.0
AZ,Arizona,Kingman,2,1,1,50.0
AZ,Arizona,Sun City West,2,1,1,50.0
AZ,Arizona,Laveen,2,2,0,100.0
AZ,Arizona,Globe,2,2,0,100.0
AZ,Arizona,Fountain Hills,2,1,1,50.0
AZ,Arizona,Sedona,2,2,0,100.0
AZ,Arizona,Litchfield Park,2,2,0,100.0
AZ,Arizona,Sun City,2,1,1,50.0
AZ,Arizona,Ajo,1,1,0,100.0
AZ,Arizona,Eloy,1,0,1,0.0
AZ,Arizona,Vail,1,0,1,0.0
AZ,Arizona,Pinetop-Lakeside,1,1,0,100.0
AZ,Arizona,Payson,1,1,0,100.0
AZ,Arizona,Show Low,1,1,0,100.0
AZ,Arizona,Chino Valley,1,1,0,100.0
AZ,Arizona,Bullhead City,1,1,0,100.0
AZ,Arizona,Black Canyon City,1,1,0,100.0
AZ,Arizona,Lake Montezuma,1,1,0,100.0
AZ,Arizona,El Mirage,1,1,0,100.0
AZ,Arizona,Mayer,1,0,1,0.0
AZ,Arizona,Maricopa County,1,0,1,0.0
AZ,Arizona,Morenci,1,1,0,100.0
AZ,Arizona,Anthem,1,1,0,100.0
AZ,Arizona,Laveen Village,1,1,0,100.0
AZ,Arizona,Nogales,1,0,1,0.0
AZ,Arizona,Green Valley,1,1,0,100.0
AZ,Arizona,Dewey,1,1,0,100.0
AZ,Arizona,Quartzsite,1,0,1,0.0
AZ,Arizona,Gold Canyon,1,1,0,100.0
AZ,Arizona,San Luis,1,1,0,100.0
CA,California,Los Angeles,520,99,421,19.0
CA,California,San Francisco,285,34,251,11.9
CA,California,San Diego,245,49,196,20.0
CA,California,San Jose,195,17,178,8.7
CA,California,Sacramento,145,25,120,17.2
CA,California,Fresno,85,23,62,27.1
CA,California,Riverside,28,23,5,82.1
CA,California,Bakersfield,26,19,7,73.1
CA,California,Anaheim,20,18,2,90.0
CA,California,Long Beach,17,13,4,76.5
CA,California,Irvine,16,16,0,100.0
CA,California,Ontario,16,16,0,100.0
CA,California,Modesto,16,14,2,87.5
CA,California,Oakland,15,14,1,93.3
CA,California,Santa Rosa,14,11,3,78.6
CA,California,Stockton,14,13,1,92.9
CA,California,San Bernardino,14,11,3,78.6
CA,California,Torrance,13,13,0,100.0
CA,California,Redding,12,8,4,66.7
CA,California,Oxnard,12,11,1,91.7
CA,California,Corona,12,8,4,66.7
CA,California,Temecula,12,10,2,83.3
CA,California,Roseville,12,12,0,100.0
CA,California,Chula Vista,11,9,2,81.8
CA,California,Lancaster,11,9,2,81.8
CA,California,Glendale,11,7,4,63.6
CA,California,Salinas,11,7,4,63.6
CA,California,Huntington Beach,11,9,2,81.8
CA,California,Fremont,11,8,3,72.7
CA,California,Santa Ana,11,11,0,100.0
CA,California,Yuba City,10,9,1,90.0
CA,California,Burbank,10,7,3,70.0
CA,California,Newport Beach,10,9,1,90.0
CA,California,Chico,9,8,1,88.9
CA,California,Mission Viejo,9,5,4,55.6
CA,California,Victorville,9,7,2,77.8
CA,California,Thousand Oaks,9,9,0,100.0
CA,California,Hemet,9,7,2,77.8
CA,California,Apple Valley,9,6,3,66.7
CA,California,Hesperia,9,8,1,88.9
CA,California,Oceanside,8,5,3,62.5
CA,California,Santa Fe Springs,8,8,0,100.0
CA,California,San Leandro,8,7,1,87.5
CA,California,Vista,8,7,1,87.5
CA,California,Sunnyvale,8,5,3,62.5
CA,California,Pomona,8,7,1,87.5
CA,California,Rancho Cucamonga,8,6,2,75.0
CA,California,Chino,8,7,1,87.5
CA,California,Pasadena,8,7,1,87.5
CA,California,Visalia,8,8,0,100.0
CA,California,Camarillo,7,6,1,85.7
CA,California,Santa Clarita,7,7,0,100.0
CA,California,Monterey,7,6,1,85.7
CA,California,Lodi,7,5,2,71.4
CA,California,Berkeley,7,5,2,71.4
CA,California,Hayward,7,7,0,100.0
CA,California,Costa Mesa,7,6,1,85.7
CA,California,Escondido,7,6,1,85.7
CA,California,Hanford,7,6,1,85.7
CA,California,Turlock,7,6,1,85.7
CA,California,Santa Cruz,7,6,1,85.7
CA,California,Martinez,6,5,1,83.3
CA,California,Tracy,6,6,0,100.0
CA,California,Concord,6,6,0,100.0
CA,California,El Centro,6,6,0,100.0
CA,California,Santa Maria,6,5,1,83.3
CA,California,Moreno Valley,6,6,0,100.0
CA,California,Colton,6,6,0,100.0
CA,California,Carlsbad,6,6,0,100.0
CA,California,San Mateo,6,6,0,100.0
CA,California,Santa Clara,6,6,0,100.0
CA,California,Antioch,6,4,2,66.7
CA,California,Folsom,6,5,1,83.3
CA,California,Murrieta,6,4,2,66.7
CA,California,Placentia,6,5,1,83.3
CA,California,San Marcos,6,6,0,100.0
CA,California,Orange,6,5,1,83.3
CA,California,Merced,6,6,0,100.0
CA,California,Fontana,6,6,0,100.0
CA,California,Ukiah,5,2,3,40.0
CA,California,Pleasanton,5,5,0,100.0
CA,California,Simi Valley,5,4,1,80.0
CA,California,Selma,5,3,2,60.0
CA,California,National City,5,4,1,80.0
CA,California,Napa,5,4,1,80.0
CA,California,Palo Alto,5,3,2,60.0
CA,California,Santa Monica,5,3,2,60.0
CA,California,Ventura,5,4,1,80.0
CA,California,City of Industry,5,5,0,100.0
CA,California,La Jolla,5,4,1,80.0
CA,California,Walnut Creek,5,5,0,100.0
CA,California,Eastvale,5,4,1,80.0
CA,California,Mountain View,5,5,0,100.0
CA,California,San Ramon,5,4,1,80.0
CA,California,Novato,5,5,0,100.0
CA,California,Paso Robles,5,4,1,80.0
CA,California,El Monte,5,4,1,80.0
CA,California,Palmdale,5,4,1,80.0
CA,California,Manteca,5,5,0,100.0
CA,California,Palm Springs,5,2,3,40.0
CA,California,La Mesa,5,4,1,80.0
CA,California,Lake Forest,5,4,1,80.0
CA,California,Citrus Heights,5,4,1,80.0
CA,California,Elk Grove,5,4,1,80.0
CA,California,Fairfield,5,3,2,60.0
CA,California,Tustin,5,2,3,40.0
CA,California,Rohnert Park,4,4,0,100.0
CA,California,San Rafael,4,2,2,50.0
CA,California,Encinitas,4,1,3,25.0
CA,California,Rialto,4,4,0,100.0
CA,California,Placerville,4,4,0,100.0
CA,California,Gardena,4,4,0,100.0
CA,California,Commerce,4,3,1,75.0
CA,California,Indio,4,4,0,100.0
CA,California,Perris,4,4,0,100.0
CA,California,Milpitas,4,4,0,100.0
CA,California,Los Gatos,4,3,1,75.0
CA,California,West Hollywood,4,4,0,100.0
CA,California,Burlingame,4,2,2,50.0
CA,California,El Cajon,4,3,1,75.0
CA,California,Campbell,4,4,0,100.0
CA,California,Manhattan Beach,4,2,2,50.0
CA,California,Poway,4,3,1,75.0
CA,California,Oroville,4,4,0,100.0
CA,California,Atascadero,4,2,2,50.0
CA,California,La Quinta,4,2,2,50.0
CA,California,Palm Desert,4,2,2,50.0
CA,California,Richmond,4,3,1,75.0
CA,California,Delano,4,3,1,75.0
CA,California,Clovis,4,3,1,75.0
CA,California,Santa Paula,4,4,0,100.0
CA,California,Rocklin,4,4,0,100.0
CA,California,Van Nuys,4,4,0,100.0
CA,California,Lake Elsinore,4,2,2,50.0
CA,California,Grass Valley,4,3,1,75.0
CA,California,Woodland,4,3,1,75.0
CA,California,Davis,4,4,0,100.0
CA,California,Ridgecrest,4,4,0,100.0
CA,California,Petaluma,4,3,1,75.0
CA,California,Upland,4,4,0,100.0
CA,California,Santa Barbara,4,4,0,100.0
CA,California,Santee,3,3,0,100.0
CA,California,Tehachapi,3,2,1,66.7
CA,California,Sonora,3,3,0,100.0
CA,California,Hollister,3,3,0,100.0
CA,California,Watsonville,3,3,0,100.0
CA,California,Whittier,3,3,0,100.0
CA,California,Jackson,3,2,1,66.7
CA,California,Cupertino,3,2,1,66.7
CA,California,Coachella,3,3,0,100.0
CA,California,Red Bluff,3,2,1,66.7
CA,California,Susanville,3,3,0,100.0
CA,California,Gilroy,3,2,1,66.7
CA,California,Danville,3,3,0,100.0
CA,California,Brea,3,2,1,66.7
CA,California,Buena Park,3,3,0,100.0
CA,California,Aliso Viejo,3,3,0,100.0
CA,California,San Clemente,3,3,0,100.0
CA,California,Alameda,3,2,1,66.7
CA,California,Carmichael,3,3,0,100.0
CA,California,Chino Hills,3,3,0,100.0
CA,California,Culver City,3,3,0,100.0
CA,California,Cypress,3,3,0,100.0
CA,California,Los Alamitos,3,2,1,66.7
CA,California,Carson,3,3,0,100.0
CA,California,Arroyo Grande,3,3,0,100.0
CA,California,El Segundo,3,2,1,66.7
CA,California,Madera,3,3,0,100.0
CA,California,Irwindale,3,3,0,100.0
CA,California,Rancho Cordova,3,3,0,100.0
CA,California,Vacaville,3,3,0,100.0
CA,California,Calexico,3,2,1,66.7
CA,California,Lompoc,3,2,1,66.7
CA,California,Downey,3,2,1,66.7
CA,California,Westlake Village,3,3,0,100.0
CA,California,Pleasant Hill,3,3,0,100.0
CA,California,Huntington Park,3,3,0,100.0
CA,California,Rolling Hills Estates,3,2,1,66.7
CA,California,Fallbrook,3,3,0,100.0
CA,California,San Luis Obispo,3,3,0,100.0
CA,California,Westminster,3,2,1,66.7
CA,California,Healdsburg,3,3,0,100.0
CA,California,Menifee,3,1,2,33.3
CA,California,Brawley,3,3,0,100.0
CA,California,Laguna Hills,3,2,1,66.7
CA,California,Sanger,3,2,1,66.7
CA,California,Coronado,3,2,1,66.7
CA,California,Porterville,3,3,0,100.0
CA,California,Redlands,3,3,0,100.0
CA,California,Auburn,3,3,0,100.0
CA,California,Cerritos,2,2,0,100.0
CA,California,Newark,2,2,0,100.0
CA,California,Yorba Linda,2,2,0,100.0
CA,California,Los Banos,2,2,0,100.0
CA,California,Inglewood,2,2,0,100.0
CA,California,Paramount,2,2,0,100.0
