state,city,city_url,provider_urls_found,new_provider_urls_added,already_known_provider_urls,providers_scraped,duplicates_skipped,failed,status,notes
pennsylvania,clarks summit,/provider/pennsylvania/clarks-summit/,4,4,,,,,success,
pennsylvania,collegeville,/provider/pennsylvania/collegeville/,4,4,,,,,success,
pennsylvania,clearfield,/provider/pennsylvania/clearfield/,5,5,,,,,success,
pennsylvania,corry,/provider/pennsylvania/corry/,1,1,,,,,success,
pennsylvania,clinton,/provider/pennsylvania/clinton/,1,1,,,,,success,
pennsylvania,coopersburg,/provider/pennsylvania/coopersburg/,,,,,,,success,
pennsylvania,coudersport,/provider/pennsylvania/coudersport/,3,3,,,,,success,
pennsylvania,clintonville,/provider/pennsylvania/clintonville/,1,1,,,,,success,
pennsylvania,delmont,/provider/pennsylvania/delmont/,1,1,,,,,success,
pennsylvania,cranberry township,/provider/pennsylvania/cranberry-township/,1,1,,,,,success,
pennsylvania,covington twp,/provider/pennsylvania/covington-twp/,1,1,,,,,success,
pennsylvania,danville,/provider/pennsylvania/danville/,1,1,,,,,success,
pennsylvania,crum lynne,/provider/pennsylvania/crum-lynne/,1,1,,,,,success,
pennsylvania,dallas,/provider/pennsylvania/dallas/,1,1,,,,,success,
pennsylvania,cranberry,/provider/pennsylvania/cranberry/,1,1,,,,,success,
pennsylvania,cranberry twp,/provider/pennsylvania/cranberry-twp/,2,2,,,,,success,
pennsylvania,drexel hill,/provider/pennsylvania/drexel-hill/,1,1,,,,,success,
pennsylvania,doylestown,/provider/pennsylvania/doylestown/,5,5,,,,,success,
pennsylvania,dickson city,/provider/pennsylvania/dickson-city/,1,1,,,,,success,
pennsylvania,drums,/provider/pennsylvania/drums/,1,1,,,,,success,
pennsylvania,devon,/provider/pennsylvania/devon/,1,1,,,,,success,
pennsylvania,downingtown,/provider/pennsylvania/downingtown/,3,3,,,,,success,
pennsylvania,douglassville,/provider/pennsylvania/douglassville/,1,1,,,,,success,
pennsylvania,dresher,/provider/pennsylvania/dresher/,1,1,,,,,success,
pennsylvania,dunmore,/provider/pennsylvania/dunmore/,5,5,,,,,success,
pennsylvania,east earl,/provider/pennsylvania/east-earl/,1,1,,,,,success,
pennsylvania,duncansville,/provider/pennsylvania/duncansville/,1,1,,,,,success,
pennsylvania,east brady,/provider/pennsylvania/east-brady/,1,1,,,,,success,
pennsylvania,dupont,/provider/pennsylvania/dupont/,1,1,,,,,success,
pennsylvania,dubois,/provider/pennsylvania/dubois/,2,2,,,,,success,
pennsylvania,duboistown,/provider/pennsylvania/duboistown/,1,1,,,,,success,
pennsylvania,east berlin,/provider/pennsylvania/east-berlin/,1,1,,,,,success,
pennsylvania,east stroudsburg,/provider/pennsylvania/east-stroudsburg/,3,3,,,,,success,
